"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"2" "066a1b8f51616bc9f7cf392aec12df2c" 5.7 7 7.3 8.6 6.6 7 7 5 7.7 9.7 7 6.5 7 8.2 7 8 7.8 7 7.9 8.8 7 7.8 7.7 6.4 7.1 5.2 5.8 5.1 7 6.6 5.5 7.4 7 7 5.4 6.4 6.6 7.6 5.4 7 5 6.2 7.6 7.1 6.79080459770115
"4" "07e605cabb25fcd348569d15324433cc" 5.4 7 7.6 8 5.9 5.9 7 6.5 6.1 10 7.4 8 7.2 8.3 5.3 7.7 7.7 7 8.7 7.6 7 7.4 8.9 7.7 9 7.2 7.2 7.9 8 7.8 7.1 7.4 7 7 7.9 8.7 8 10 6.4 8.4 7 6.4 6.6 6.5 7.23033707865169
"7" "1432d50cf8519694ab992c414d90a130" 6.8 8.8 5.4 8.9 7.4 6 5.2 5 6.8 10 8.6 6.8 8.7 9.5 8.5 8.7 8.2 5 8.5 7.5 5 7.7 7.9 5.1 8.2 9.3 5.9 5.8 8 9.2 7.4 7.7 7.3 5.8 5 7.1 9.4 8.3 5.1 8.8 6.7 7 6.2 5.4 7.20574712643678
"8" "1471a43df7d59a219ad739462d791410" 7.5 6.8 7.1 8.9 6.7 7.2 7 6.3 5.8 8.3 8.3 7.1 9 7.5 5.2 8.8 9 7 8.6 8 7 8.3 8.9 8.2 8.9 6.4 7 8 8.1 7.3 7.7 7.4 7 5.2 7 7.9 8.7 9 7.5 7.9 7 7 7.6 5.4 7.4448275862069
"10" "20a4e1e93e605ae13d48e4de603781e4" 6 7 7.5 7.4 7 7.5 7.5 8.2 7.7 9.8 7.2 5.6 7 8.7 8.1 8.3 7.3 5.2 9.2 7.9 5.2 7.6 8.1 5.9 8 6.5 7 5.7 8.4 7.9 7.7 7 7.6 5.4 7.3 7.1 7.7 7.6 6.6 8.9 5.4 7 5.8 6.9 7.07931034482759
"11" "2117d0c2f5c4afbc978abbe96d6cbe7b" 5.1 8.7 7.2 7 6.9 5.2 6.6 8.3 6.7 9.1 6 5.2 5 7.3 8 9 6.5 7 7.5 5.5 7 8.7 7.6 8.9 9.2 7.9 5.4 7.6 7 7 5.2 7.7 9.4 5 8.4 7.5 9.3 7.3 6.5 7.2 5.4 8.1 6.6 7.2 6.3873786407767
"12" "221886f7885fff35b787e310fe7aa245" 7.5 8.9 7.8 9.4 7.1 5.5 8.4 7 8.1 8.6 7.6 5.8 7 8.9 8.4 9.7 8 7.4 9.6 7 7.4 7.6 7.6 9.7 9.6 10 5.6 6.8 8.1 7.5 6.5 6.6 6 5.4 9.3 8.5 8.5 8.4 8.3 8.7 7 5.9 6.7 9.1 6.13451327433628
"13" "25f50af45fa0065a73077d8d047a7cd1" 8.2 7.4 7.4 9.1 6.2 8.8 7.8 7.3 7.8 10 9.2 5.4 7.4 9 7.3 9.8 9.1 8.6 8.7 7.2 8.6 10 8.5 7.1 8 7 9.1 8.2 9.2 7.3 6.2 7.5 8.6 6.6 7 8.1 8.7 9.1 7.4 7.9 7 7 7.4 7.5 7.95411764705882
"14" "2985a691c563d06ea9c97bbe9e66ae46" 9.5 10 9.2 8.4 8.4 7.3 8.8 7 7.4 10 7.5 8.3 8.6 9.5 8.7 9.3 9.5 8.7 9.3 9.1 8.7 8.4 9.6 9.6 9.1 8.4 9.1 8.1 8.5 9.4 8 8.5 9.2 7.7 9.8 9.3 8.3 8.9 8.4 9.5 8.4 9.2 9 9.1 8.77176470588235
"15" "31dfd5f8669bf8c05c2877d9e6d6f09c" 5 6.3 8 5 8.7 7 7 5 6.3 10 8.1 6.7 7.8 8.3 7.1 8.3 8.7 7.1 7.6 8.2 7.1 9.6 7.6 7.9 5 7.2 8.3 6.3 8.1 7.4 6 7.2 9.3 6.7 5.3 7.7 7.1 8 7.2 9.7 6.1 7.4 7 6.3 7.1247191011236
