"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"24" "0cc3d63edf0b986cb87e345972857e15" 9.3 8.6 8.7 8.7 6 7.7 8.7 8.4 7.9 8 8.5 8.4 7.9 9.4 7.8 9.4 8.3 8.9 9.1 9.4 8.9 8.8 8.7 8.6 9.4 10 10 8.3 9.5 7.8 9 8.2 6.8 7.2 9 8.8 8.5 8.4 8.5 8.4 7.8 8 7.8 8.2 8.47764705882353
"26" "0d78246db769dc958ce19fc414050b2a" 7.5 5.6 5 9 5.9 5 7 6.2 5.8 8.3 5.6 5.8 7.7 7.3 8.3 7 7.4 6 7 7 6 9.3 9.7 8.1 8.9 7 6 7.3 7 6.4 5.4 5.8 8.1 7.5 7.7 8.2 8.3 9.6 5.5 7 5 6.6 6.1 5.4 6.85172413793103
"28" "0f5bb983df06b90337dc2c6301fef3f6" 9 10 9.5 9.5 8.8 8.9 8.6 8.7 9.6 7.3 10 8.3 8.6 9.4 8.8 8.3 9.3 8.6 9.6 9.7 8.6 9.3 9.2 8.3 9.7 9.8 10 8.8 9.5 8.2 10 9 8.2 8.2 7.9 9.5 10 10 9.4 9.4 9 9.7 7.6 9.2 9.09058823529412
"32" "1307a4421a67a497cea198e8ccfb97ee" 7.3 6.1 7.3 7.1 7.8 7.7 7.8 8 6.1 8.5 7.7 7.1 8.5 7.9 8.3 8 7.3 8.3 8.2 7.1 8.3 9 8 7.1 9 8.3 8 6.3 9 7.6 6.8 8.1 5.6 5.6 6.8 8.9 9.1 9.1 9.2 7.3 6.4 8.7 5 7 7.28351648351648
"42" "16323c1ac9f0e84db90f15a88d347d8b" 7 9.4 8.1 7.1 7.8 5.3 6.1 5.6 7 9.8 7.1 7.1 7.3 5.3 8 9.5 8.1 8.5 9.3 8.9 8.5 8.6 8.3 9.3 9.6 9.2 7.3 8.2 7.5 7.1 7.7 7.1 9 5.8 9.1 9 7.9 8.3 7.5 9.7 6.5 7 6.1 8.5 7.80823529411765
"48" "18ff92e2fd6da41b520ded9c402e149f" 8.3 7 8.7 9.6 9.4 9.2 6.3 6.7 9 9.8 9.7 8.1 7.6 8.8 8.6 9.4 9.5 8.8 8.6 9.3 8.8 9.4 9.2 8.8 9.5 9.6 9.7 8.8 8.5 8.2 9.5 9.1 8.1 7.7 8.3 9.6 10 10 8.3 9.9 8.7 9.7 9.2 8.4 8.85882352941177
"50" "1a1e13e2a3497e3e755ee5700bafb3b6" 7 7.5 5.4 5.7 7.9 6.1 7.5 5 6.8 8.3 7 5.7 7.1 7 7 8.2 7.7 7 7.9 7 7 7.7 5.2 8.2 7.9 8.9 7 5.6 7.3 6.2 5.5 6.2 7.7 5 7.5 7 8.5 8.4 6.7 7.8 7 5.7 6.5 5.1 6.15882352941177
"57" "1ff77eae977b8756d496022ebda22f68" 5.5 9.1 5.2 7.5 5.9 5.8 6.6 5 5.7 8 6.5 5 5.1 7 8.2 8.4 8.1 5 7.9 5.6 5 7 7.4 5.3 8.9 9 5.7 5.4 9.2 6.5 5.5 5.9 8.5 6.5 5 8.3 7.1 7.8 6.4 8.3 5.4 7.1 6.7 7.1 6.73058823529412
"67" "237041a9b83f50683cfcbca756ef7691" 7.2 5.8 7.5 7 7 7 5.6 5 5.7 8 7 7 6.6 5 8 8.3 7.3 7 8.1 7 7 9.2 7.2 7.1 8.8 7.3 5.6 7.2 7.6 8.3 5 7.4 5 5 6.7 7.4 8.7 9.1 7.6 9 7.8 7.5 5 6.7 6.83406593406593
"78" "28065a490f6036431dfb6531d3ab19b7" 10 8.4 9.5 8.5 7 8.3 7.2 5.8 7.8 9.8 9.3 7.4 7 7.5 8.7 8.9 7.9 8.4 8.1 9.4 8.4 9.8 8.7 9.6 9.3 9.5 10 9.6 8 7.8 8.2 9.4 7.9 7.3 8.9 9 9.2 9.4 8.3 9.8 7.6 8.3 7.2 8.8 8.52235294117647
