"matricula" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"24" "1268289547" 5 6.2 5.6 7.3 7 7 7.7 5.3 6.6 7 9.7 7.3 5.5 8.3 5 8.3 7.5 8.1 7.1 8 8.1 9.5 8.9 8.5 7.9 8 7 5 7.7 5.4 5 5.3 5 6.1 8.1 8.4 8.8 9.5 5.5 8 5.9 6.6 5.4 7.8 6.76043956043956
"26" "1269495444" 7.1 8 8.4 5.8 6.3 6.5 8.6 6.3 7 8.8 6.1 7 7.3 7.8 8.1 8.7 8.1 7.2 7.2 8.6 7.2 7.2 8.1 7.2 5.1 8.8 8.5 6.4 6.1 7 5 8.4 7.4 7.3 5.5 7.1 9.4 8.3 5.9 9.4 7 7.3 6 7.1 7.2
"27" "1269495448" 9 8.1 7.9 9.5 7.6 7.9 5.9 5.7 8.1 9.8 7.8 6.5 8.7 9.4 8.3 8.3 9 7 8.4 7.6 7 8 8.5 6.7 8 8 7.8 7.9 8.1 9.2 6.5 8.6 8 6.7 6.2 7.9 9.4 8.3 7 8.7 6.3 5.5 6.8 7 7.79647058823529
"29" "1270495442" 10 9.1 9.4 9.4 8.9 8.1 8.7 8.3 9 10 7.9 8.8 9.1 9.3 8.2 9.2 9.3 7 9.9 8.9 7 9.7 8.1 8.6 9.1 8.2 9.3 8.1 7.7 9 9 9.3 9.7 8.1 8.1 8.9 9.4 8.3 9.2 9.3 7.5 8.2 10 7.6 8.80235294117647
"31" "1272495432" 6.8 8.8 5.4 8.9 7.4 6 5.2 5 6.8 10 8.6 6.8 8.7 9.5 8.5 8.7 8.2 5 8.5 7.5 5 7.7 7.9 5.1 8.2 9.3 5.9 5.8 8 9.2 7.4 7.7 7.3 5.8 5 7.1 9.4 8.3 5.1 8.8 6.7 7 6.2 5.4 7.20574712643678
"32" "1272495434" 9.4 9.2 9.1 8.3 9.7 9.5 9.5 8.1 7.4 10 8.7 8.5 8.2 9.5 8.3 9 9.6 8.5 9.8 9.3 8.5 8.3 9.1 9.8 9.1 8 9.2 8 9.6 9.4 8.2 9.9 9.5 9.2 8.9 9.3 7.1 7.8 8.4 9.8 8.8 8.9 9.4 9.8 8.92470588235294
"39" "1450397880" 8.2 7.7 8.2 8.8 7.2 7.6 7.5 7.6 8.2 9.7 8.2 8 8.3 8.8 7 8.7 7.3 7.2 8.5 9.4 7.2 9.6 8.4 7.9 9.5 7.2 8.6 8.2 8.7 7 8.1 8.1 7.9 7.6 7 9.4 8.7 9 7.6 9 7 7.7 9.2 7.6 8.16117647058824
"45" "1462397850" 7 8 9.5 7.8 8.6 8.2 9.1 9.8 8.8 9.7 9.3 8.7 9.1 10 8 8.4 8.6 7.4 9.7 9.2 7.4 9.9 8.6 8.8 8.7 8.9 9.2 9 8 7.7 8.4 8.4 9.5 8.2 6.3 9.4 7.5 8.8 8.6 8.6 8.6 8.2 9.3 10 8.55402298850575
"51" "1465397852" 8.2 7.4 7.4 9.1 6.2 8.8 7.8 7.3 7.8 10 9.2 5.4 7.4 9 7.3 9.8 9.1 8.6 8.7 7.2 8.6 10 8.5 7.1 8 7 9.1 8.2 9.2 7.3 6.2 7.5 8.6 6.6 7 8.1 8.7 9.1 7.4 7.9 7 7 7.4 7.5 7.95411764705882
"53" "1637405762" 5.3 8.2 5 7.3 5.1 5.2 5 5.5 5.4 9.4 7.1 5.1 5.2 8.2 5 9 7.2 5.3 6.3 7.2 5.3 7.6 8.3 7.7 9 5 5.5 5.4 7.8 6.7 5 5.9 6.2 5.8 6.5 7.7 6.7 7.7 5 7 5.3 5.3 5.1 5.5 5.6018691588785
"54" "1642405874" 7.3 7.5 7 7.7 7 5.9 6.6 7.1 5.4 9.7 8.7 7.5 7.3 9.2 7 9.1 8.4 8.7 8.6 7 8.7 9.8 8.5 7.2 8.3 5 9.7 7.4 9.1 6.8 8.7 8.6 8.6 7 7 7.3 8.7 9.1 7 8 7 6.1 8.2 7.1 6.87575757575758
"55" "1669020028" 5.4 5 7 7.9 5.6 6.8 5.3 5.2 5.5 7.8 7.1 5.6 5.2 7.7 8.2 9.2 7.1 7.1 5.4 7 7.1 8.5 7.8 5.5 7 7.8 5.9 5 8.5 7 5 5.4 7.1 5.8 5.3 5 7 8.6 5.4 7 5.4 5 5.6 5.6 5.27637795275591
"69" "1865571312" 6.1 5.7 5 5.2 5.4 5.2 8.8 5.1 5.3 8 5 5.7 7 7.6 7.4 8.5 7 7 7 7.8 7 7 8.4 7 8.5 8.3 5.6 5.5 8.8 5.4 6.6 5 5.1 5.7 6.6 6 8 8.6 7 8.7 5.5 5.7 5 5 4.87446808510638
"84" "1985875434" 9.2 8.3 7.9 8.7 8 8 8.1 5 8.4 9 8.8 7.8 7.3 9.7 8.1 8 9.1 8.1 7.9 9.1 8.1 9.1 9 8.2 9.2 9 9.4 8.5 6.9 9.2 7.8 7.4 8.5 8 7.8 9 8.9 8.5 8.6 9.5 7.3 7.5 7.2 7.8 8.21379310344828
"86" "1985875439" 7.9 5.8 7.2 8.6 5.9 6.2 5.4 5 5.8 7.6 7.9 8.7 8.3 8.6 7.6 8.3 5.6 5.3 7 8.5 5.3 7 8.3 7.8 6.2 7.2 7 7 6.7 7.4 7.6 7.6 9.4 6.3 7 7.8 8.9 8.5 6.3 8.4 5.7 5.1 5.8 8.4 6.35346534653465
"87" "1986875433" 8.3 9.2 7.5 5.4 7.8 7.1 7.5 7 6.3 8.5 7 8.4 7 9.4 8.3 8.5 8.1 7 8.6 8.9 7 7 7.3 8.5 8.5 8.5 8 7.4 8 7.4 7 8.6 8 7.4 7.3 7.8 7.1 7.8 7.5 9.6 7 6.6 5.6 6.8 7.68470588235294
"88" "1986875434" 7.1 6.4 7.1 5.8 7 7 8.7 5.2 6.8 10 7.1 7.3 5 8.3 8.4 7.9 8.2 5.3 8.9 9.1 5.3 8.8 7.6 8.8 8.2 8.7 7.9 7.1 5 7.4 8.3 8.5 9.5 8 8.1 9 7.1 7.8 7.5 9.6 7.1 6.5 5.6 6.1 7.44252873563218
"90" "1986875438" 7 8.4 5.6 5.5 7 5 7 5.7 5.2 9.3 7.9 5.4 6.6 8.8 7.8 7.3 6 7 7.3 7.6 7 8.6 7 7.1 7.6 7.1 5.9 5.2 5 7.3 8.4 5.4 7.6 7.4 5.7 6.4 6.2 8.2 5 7.9 5.1 6.5 7.4 5.1 6.49052631578947
"92" "1988669523" 5.4 6.1 6.7 7.3 7.2 7.1 7.5 5 7.3 8.5 9.4 8.2 5.7 8.3 5 8.3 7 7 7.2 9 7 10 8.3 8 8 7.8 7.5 5.5 8.6 6.9 7.4 7.4 5.1 6.3 7.9 7.9 8.8 9.5 6.3 8.7 6.1 6.3 7 8.3 7.25747126436782
"95" "1997669620" 5.3 9 5.8 7.3 5.9 8.2 8.2 6.7 5.7 7 7.8 7 7.8 8.3 7 8 8.3 7 9.2 8.6 7 8.7 7.2 8 8.3 7 5 7 7.6 6.4 5.8 7.1 7.4 5 7.8 8 8.8 9.5 7 8.8 5.9 7.2 6 8 7.01397849462366
"96" "1997669624" 5.7 6.3 5.9 8.4 6.3 7.3 6.2 5.7 7.9 7 8.2 6 6.4 8 7.3 8.4 7.4 5.7 7.6 7.5 5.7 6.7 7.8 7.8 5.2 7.5 7 5 5.6 6.5 7.9 6.6 7 5.5 7.5 7.7 8 8.2 5.3 9 6.6 5.5 5.2 9.3 6.39175257731959
"97" "1997669631" 6.4 8.1 5.8 6.8 5.4 5.3 5.3 5.6 5 8.8 7 5.3 6.6 7.8 5 9 5 7.4 8 7.1 7.4 7.1 6 8.8 8.2 7.2 7.5 5.9 7.7 6.7 5 7.2 8.1 7 8.3 8 7.1 9 7.6 7.4 7 5 6 7.3 6.38659793814433
"98" "1998669622" 5.5 7 7.8 7.3 7 7.9 7 6.4 7.2 9.5 9.6 7.1 7.3 8.8 7.8 9.5 7.7 8.8 8.4 7.4 8.8 9.1 9 8.9 8.2 7.3 7 6.4 9.2 7 7.4 8.2 7.1 5.4 8.5 8.2 8.8 9.5 7.5 8 7.5 7.2 7 7.3 7.4978021978022
"99" "1999875398" 9.5 10 9.2 8.4 8.4 7.3 8.8 7 7.4 10 7.5 8.3 8.6 9.5 8.7 9.3 9.5 8.7 9.3 9.1 8.7 8.4 9.6 9.6 9.1 8.4 9.1 8.1 8.5 9.4 8 8.5 9.2 7.7 9.8 9.3 8.3 8.9 8.4 9.5 8.4 9.2 9 9.1 8.77176470588235
"100" "1999875399" 9.2 10 9.3 8.7 9.3 8.7 9.2 7.6 9.1 8.8 7 8.3 7.5 9 7.9 9.3 8.8 8.8 8.4 9.1 8.8 8.9 8.3 8.9 8.5 8.3 9.3 8.6 8.5 9.2 9.9 9.6 9.3 7.8 8.6 8.8 8.9 8.5 8.3 9.5 8.3 9.5 8.9 9.2 8.77294117647059
"103" "200645921" 7.2 7.3 8.7 7.7 5 5 7.2 6.1 7.3 9 8.7 7.2 7.5 9.7 7.1 9 7.6 7.4 7.7 8.6 7.4 8.3 8.4 7.8 9 7.6 7.5 7 7.5 7.3 7.2 7.5 7.2 5.1 7.9 7.8 9.3 8.3 7.2 8.3 7.3 7.8 7.5 7.6 7.49540229885057
